Заголовок,Соединение,Примечание,Значение,Перевод,Примеры,Уровень
～がち,[名詞]＋がち・動詞：　～ます → ～がち,"漢字で書くと「勝ち」だが普通はひらがなで書く。　・「遅れがち」は遅れることの方が勝っている、多いという意味。",～ことが多い。（よくないことに使う）,,雨の日の朝は電車が遅れがちだ。・母はここ数年病気がちだ。しかも、一度風邪を引いたりすると、それが長引きがちだ。・留学経験があると聞くと、英語が流暢なのだろうと考えがちだが、そうとは限らない。・「あの社長秘書、社長と不倫してたんだって」、「えっ、ほんと。でも、それってありがちだよね」・親は子供のすることにいちいち口を出しがちだ。黙って見ていてあげることも大切だ。・水道、電気、ガス。私たちはそのありがたさを忘れがちだ。人はそれが自由に使えなくなって初めてにその有り難さに気付くのだ。・ 謙遜しすぎて目立たずに過小評価されがちの人もいれば、自慢話をしすぎて過小評価されがちの人もいる。・部下が遠慮がちに「明日、お休みをいただけないでしょうか」と聞いて来た。　（慣用的表現）・このところ曇りがちの日が続いていますね。（慣用的表現、「雨がち」とは言わない）,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
